Date : 2023-09-21 00:08:00
Directory : d:\WatchWithMe
Total : 131 files,  17864 codes, 1270 comments, 978 blanks, all 20112 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\WatchWithMe\app\Http\Middleware\HandleInertiaRequests.php                                 | PHP                |         26 |         13 |          6 |         45 |
| d:\WatchWithMe\app\Http\Middleware\PreventRequestsDuringMaintenance.php                      | PHP                |          8 |          6 |          4 |         18 |
| d:\WatchWithMe\app\Http\Middleware\RedirectIfAuthenticated.php                               | PHP                |         20 |          5 |          6 |         31 |
| d:\WatchWithMe\app\Http\Middleware\TrimStrings.php                                           | PHP                |         11 |          5 |          4 |         20 |
| d:\WatchWithMe\app\Http\Middleware\TrustHosts.php                                            | PHP                |         12 |          5 |          4 |         21 |
| d:\WatchWithMe\app\Http\Middleware\TrustProxies.php                                          | PHP                |         14 |         10 |          5 |         29 |
| d:\WatchWithMe\app\Http\Middleware\ValidateSignature.php                                     | PHP                |          8 |         11 |          4 |         23 |
| d:\WatchWithMe\app\Http\Middleware\VerifyCsrfToken.php                                       | PHP                |          8 |          6 |          4 |         18 |
| d:\WatchWithMe\app\Http\Requests\Auth\LoginRequest.php                                       | PHP                |         51 |         21 |         14 |         86 |
| d:\WatchWithMe\app\Http\Requests\ProfileUpdateRequest.php                                    | PHP                |         15 |          5 |          4 |         24 |
| d:\WatchWithMe\app\Models\Rooms.php                                                          | PHP                |          9 |          0 |          4 |         13 |
| d:\WatchWithMe\app\Models\User.php                                                           | PHP                |         23 |         16 |          7 |         46 |
| d:\WatchWithMe\app\Providers\AppServiceProvider.php                                          | PHP                |         12 |          8 |          5 |         25 |
| d:\WatchWithMe\app\Providers\AuthServiceProvider.php                                         | PHP                |         11 |         11 |          5 |         27 |
| d:\WatchWithMe\app\Providers\BroadcastServiceProvider.php                                    | PHP                |         12 |          3 |          5 |         20 |
| d:\WatchWithMe\app\Providers\EventServiceProvider.php                                        | PHP                |         21 |         12 |          6 |         39 |
| d:\WatchWithMe\app\Providers\RouteServiceProvider.php                                        | PHP                |         25 |         10 |          6 |         41 |
